interval,AllHalogens
"(3.0, 3.1]",15
"(3.1, 3.2]",25
"(3.2, 3.3]",27
"(3.3, 3.4]",36
"(3.4, 3.5]",41
"(3.5, 3.6]",46
"(3.6, 3.7]",47
"(3.7, 3.8]",53
"(3.8, 3.9]",57
"(4.0, 4.1]",61
"(3.9, 4.0]",62
"(4.1, 4.2]",65
"(4.2, 4.3]",67
"(4.3, 4.4]",92
"(4.6, 4.7]",107
"(5.5, 5.6]",108
"(5.2, 5.3]",109
"(5.4, 5.5]",116
"(4.7, 4.8]",120
"(5.1, 5.2]",124
"(5.0, 5.1]",127
"(4.8, 4.9]",128
"(5.9, 6.0]",128
"(4.9, 5.0]",131
"(6.1, 6.2]",131
"(4.4, 4.5]",133
"(6.2, 6.3]",138
"(6.0, 6.1]",144
"(5.3, 5.4]",146
"(5.7, 5.8]",150
"(5.8, 5.9]",150
"(5.6, 5.7]",151
"(6.6, 6.7]",151
"(6.7, 6.8]",155
"(4.5, 4.6]",155
"(6.5, 6.6]",155
"(6.3, 6.4]",156
"(7.4, 7.5]",170
"(6.8, 6.9]",171
"(7.5, 7.6]",180
"(7.6, 7.7]",181
"(7.7, 7.8]",186
"(7.8, 7.9]",187
"(7.3, 7.4]",200
"(6.4, 6.5]",205
"(7.9, 8.0]",209
"(7.2, 7.3]",216
"(7.0, 7.1]",227
"(6.9, 7.0]",235
"(8.3, 8.4]",235
"(8.0, 8.1]",240
"(8.1, 8.2]",259
"(7.1, 7.2]",270
"(8.4, 8.5]",272
"(8.2, 8.3]",279
"(8.6, 8.7]",301
"(8.5, 8.6]",344
"(8.8, 8.9]",355
"(8.9, 9.0]",458
"(9.4, 9.5]",495
"(8.7, 8.8]",513
"(9.5, 9.6]",541
"(9.3, 9.4]",564
"(9.6, 9.7]",596
"(9.0, 9.1]",612
"(9.1, 9.2]",623
"(9.2, 9.3]",627
"(9.7, 9.8]",849
"(9.8, 9.9]",1330
"(9.9, 10.0]",1488
