interval,BR
"(3.0, 3.1]",3
"(4.0, 4.1]",9
"(3.5, 3.6]",10
"(3.4, 3.5]",11
"(3.1, 3.2]",12
"(3.2, 3.3]",12
"(4.2, 4.3]",17
"(4.1, 4.2]",17
"(4.3, 4.4]",17
"(3.8, 3.9]",17
"(3.9, 4.0]",18
"(3.7, 3.8]",18
"(3.3, 3.4]",18
"(5.9, 6.0]",18
"(4.6, 4.7]",19
"(5.4, 5.5]",20
"(3.6, 3.7]",21
"(5.5, 5.6]",21
"(5.8, 5.9]",23
"(4.7, 4.8]",24
"(5.2, 5.3]",24
"(6.1, 6.2]",27
"(5.7, 5.8]",28
"(5.6, 5.7]",28
"(6.0, 6.1]",29
"(5.0, 5.1]",30
"(4.9, 5.0]",31
"(4.8, 4.9]",31
"(5.1, 5.2]",32
"(6.2, 6.3]",34
"(5.3, 5.4]",35
"(6.3, 6.4]",36
"(7.2, 7.3]",40
"(6.6, 6.7]",41
"(6.5, 6.6]",42
"(6.8, 6.9]",42
"(7.6, 7.7]",44
"(6.7, 6.8]",45
"(7.0, 7.1]",47
"(6.9, 7.0]",48
"(7.8, 7.9]",49
"(7.3, 7.4]",49
"(7.4, 7.5]",51
"(7.1, 7.2]",52
"(6.4, 6.5]",53
"(7.7, 7.8]",55
"(7.5, 7.6]",58
"(8.1, 8.2]",61
"(7.9, 8.0]",63
"(8.2, 8.3]",64
"(8.4, 8.5]",64
"(8.3, 8.4]",69
"(4.5, 4.6]",73
"(8.0, 8.1]",74
"(4.4, 4.5]",77
"(9.1, 9.2]",82
"(9.3, 9.4]",85
"(8.7, 8.8]",92
"(8.5, 8.6]",92
"(9.0, 9.1]",95
"(8.6, 8.7]",98
"(8.9, 9.0]",101
"(8.8, 8.9]",102
"(9.2, 9.3]",106
"(9.7, 9.8]",106
"(9.4, 9.5]",112
"(9.6, 9.7]",113
"(9.5, 9.6]",131
"(9.8, 9.9]",135
"(9.9, 10.0]",139
